"Species","LifeStage","CTmax","UniqueTrialID","Ramping_rate"
"Zebrafish","Spawner",41.1,"Zebrafish Spawner 2",18
"Zebrafish","Spawner",41.1,"Zebrafish Spawner 2",18
"Zebrafish","Spawner",41.2,"Zebrafish Spawner 2",18
"Zebrafish","Spawner",41.2,"Zebrafish Spawner 2",18
"Zebrafish","Spawner",41.2,"Zebrafish Spawner 2",18
"Zebrafish","Spawner",41.3,"Zebrafish Spawner 2",18
"Zebrafish","Spawner",41.3,"Zebrafish Spawner 2",18
"Zebrafish","Spawner",41.4,"Zebrafish Spawner 2",18
"Zebrafish","Spawner",41.6,"Zebrafish Spawner 2",18
"Zebrafish","Spawner",41.6,"Zebrafish Spawner 2",18
"Zebrafish","Spawner",40,"Zebrafish Spawner 3",18
"Zebrafish","Spawner",40.3,"Zebrafish Spawner 3",18
"Zebrafish","Spawner",40.6,"Zebrafish Spawner 3",18
"Zebrafish","Spawner",40.8,"Zebrafish Spawner 3",18
"Zebrafish","Spawner",41,"Zebrafish Spawner 3",18
"Zebrafish","Spawner",41,"Zebrafish Spawner 3",18
"Zebrafish","Spawner",41.1,"Zebrafish Spawner 3",18
"Zebrafish","Spawner",41.2,"Zebrafish Spawner 3",18
"Zebrafish","Spawner",41.2,"Zebrafish Spawner 3",18
"Zebrafish","Spawner",41.2,"Zebrafish Spawner 3",18
"Zebrafish","Spawner",41.2,"Zebrafish Spawner 3",18
"Zebrafish","Spawner",41.2,"Zebrafish Spawner 3",18
"Zebrafish","Spawner",40.4,"Zebrafish Spawner 4",18
"Zebrafish","Spawner",40.5,"Zebrafish Spawner 4",18
"Zebrafish","Spawner",40.7,"Zebrafish Spawner 4",18
"Zebrafish","Spawner",40.8,"Zebrafish Spawner 4",18
"Zebrafish","Spawner",40.9,"Zebrafish Spawner 4",18
"Zebrafish","Spawner",41,"Zebrafish Spawner 4",18
"Zebrafish","Spawner",41,"Zebrafish Spawner 4",18
"Zebrafish","Spawner",41.1,"Zebrafish Spawner 4",18
"Zebrafish","Spawner",41.2,"Zebrafish Spawner 4",18
"Zebrafish","Spawner",41.3,"Zebrafish Spawner 4",18
"Zebrafish","Spawner",41.3,"Zebrafish Spawner 4",18
"Zebrafish","Spawner",41.4,"Zebrafish Spawner 4",18
"Zebrafish","Spawner",41.6,"Zebrafish Spawner 4",18
"Two_spot_goby","Spawner",26.75,"Two_spot_goby Spawner 1",18
"Two_spot_goby","Spawner",27.07,"Two_spot_goby Spawner 1",18
"Two_spot_goby","Spawner",27.3,"Two_spot_goby Spawner 1",18
"Two_spot_goby","Spawner",27.47,"Two_spot_goby Spawner 1",18
"Two_spot_goby","Spawner",28.09,"Two_spot_goby Spawner 1",18
"Two_spot_goby","Spawner",28.47,"Two_spot_goby Spawner 1",18
"Two_spot_goby","Spawner",28.58,"Two_spot_goby Spawner 1",18
"Two_spot_goby","Spawner",28.98,"Two_spot_goby Spawner 1",18
"Two_spot_goby","Spawner",29.44,"Two_spot_goby Spawner 1",18
"Two_spot_goby","Spawner",29.48,"Two_spot_goby Spawner 1",18
"Two_spot_goby","Spawner",25.37,"Two_spot_goby Spawner 2",18
"Two_spot_goby","Spawner",26.11,"Two_spot_goby Spawner 2",18
"Two_spot_goby","Spawner",26.58,"Two_spot_goby Spawner 2",18
"Two_spot_goby","Spawner",26.8,"Two_spot_goby Spawner 2",18
"Two_spot_goby","Spawner",26.99,"Two_spot_goby Spawner 2",18
"Two_spot_goby","Spawner",27.04,"Two_spot_goby Spawner 2",18
"Two_spot_goby","Spawner",27.19,"Two_spot_goby Spawner 2",18
"Two_spot_goby","Spawner",27.64,"Two_spot_goby Spawner 2",18
"Two_spot_goby","Spawner",28.56,"Two_spot_goby Spawner 2",18
"Two_spot_goby","Spawner",29.69,"Two_spot_goby Spawner 2",18
"Two_spot_goby","Spawner",26.23,"Two_spot_goby Spawner 3",18
"Two_spot_goby","Spawner",26.36,"Two_spot_goby Spawner 3",18
"Two_spot_goby","Spawner",26.55,"Two_spot_goby Spawner 3",18
"Two_spot_goby","Spawner",26.86,"Two_spot_goby Spawner 3",18
"Two_spot_goby","Spawner",26.92,"Two_spot_goby Spawner 3",18
"Two_spot_goby","Spawner",27.24,"Two_spot_goby Spawner 3",18
"Two_spot_goby","Spawner",27.51,"Two_spot_goby Spawner 3",18
"Two_spot_goby","Spawner",27.96,"Two_spot_goby Spawner 3",18
"Two_spot_goby","Spawner",28.24,"Two_spot_goby Spawner 3",18
"Two_spot_goby","Spawner",28.94,"Two_spot_goby Spawner 3",18
"Two_spot_goby","Embryo",29.2,"Two_spot_goby Embryo 1",18
"Two_spot_goby","Embryo",31.079,"Two_spot_goby Embryo 1",18
"Two_spot_goby","Embryo",29.772,"Two_spot_goby Embryo 1",18
"Two_spot_goby","Embryo",31.614,"Two_spot_goby Embryo 1",18
"Two_spot_goby","Embryo",29.614,"Two_spot_goby Embryo 1",18
"Two_spot_goby","Embryo",29.161,"Two_spot_goby Embryo 1",18
"Two_spot_goby","Embryo",31.679,"Two_spot_goby Embryo 1",18
"Two_spot_goby","Embryo",31.587,"Two_spot_goby Embryo 1",18
"Two_spot_goby","Embryo",29.392,"Two_spot_goby Embryo 1",18
"Two_spot_goby","Embryo",32.214,"Two_spot_goby Embryo 1",18
"Two_spot_goby","Embryo",31.448,"Two_spot_goby Embryo 1",18
"Two_spot_goby","Embryo",30.604,"Two_spot_goby Embryo 1",18
"Two_spot_goby","Embryo",32.538,"Two_spot_goby Embryo 1",18
"Two_spot_goby","Embryo",30.881,"Two_spot_goby Embryo 1",18
"Two_spot_goby","Embryo",30.932,"Two_spot_goby Embryo 1",18
"Two_spot_goby","Embryo",30.303,"Two_spot_goby Embryo 1",18
"Two_spot_goby","Embryo",32.277,"Two_spot_goby Embryo 1",18
"Two_spot_goby","Embryo",29.418,"Two_spot_goby Embryo 2",18
"Two_spot_goby","Embryo",30.083,"Two_spot_goby Embryo 2",18
"Two_spot_goby","Embryo",30.501,"Two_spot_goby Embryo 2",18
"Two_spot_goby","Embryo",31.286,"Two_spot_goby Embryo 2",18
"Two_spot_goby","Embryo",30.602,"Two_spot_goby Embryo 2",18
"Two_spot_goby","Embryo",30.669,"Two_spot_goby Embryo 2",18
"Two_spot_goby","Embryo",30.013,"Two_spot_goby Embryo 2",18
"Two_spot_goby","Embryo",31.864,"Two_spot_goby Embryo 2",18
"Two_spot_goby","Embryo",28.189,"Two_spot_goby Embryo 2",18
"Two_spot_goby","Embryo",29.317,"Two_spot_goby Embryo 2",18
"Two_spot_goby","Embryo",30.91,"Two_spot_goby Embryo 2",18
"Two_spot_goby","Embryo",30.882,"Two_spot_goby Embryo 2",18
"Two_spot_goby","Embryo",29.816,"Two_spot_goby Embryo 2",18
"Two_spot_goby","Embryo",32.14,"Two_spot_goby Embryo 4",18
"Two_spot_goby","Embryo",31.831,"Two_spot_goby Embryo 4",18
"Two_spot_goby","Embryo",32.143,"Two_spot_goby Embryo 4",18
"Two_spot_goby","Embryo",29.833,"Two_spot_goby Embryo 4",18
"Two_spot_goby","Embryo",31.936,"Two_spot_goby Embryo 4",18
"Two_spot_goby","Embryo",27.686,"Two_spot_goby Embryo 4",18
"Two_spot_goby","Embryo",29.152,"Two_spot_goby Embryo 4",18
"Two_spot_goby","Embryo",32.156,"Two_spot_goby Embryo 4",18
"Two_spot_goby","Embryo",30.486,"Two_spot_goby Embryo 4",18
